i,Naive,Preprocess,D&C,Dynamic
872000,0,0,545033,877358
873000,0,0,560698,877349
874000,0,0,603424,878130
875000,0,0,572468,866092
876000,0,0,706047,881131
877000,0,0,643674,877874
878000,0,0,753979,884386
879000,0,0,715993,880906
880000,0,0,646461,885350
881000,0,0,632870,884367
882000,0,0,673791,879840
883000,0,0,688164,883628
884000,0,0,703641,898636
885000,0,0,652226,884021
886000,0,0,678427,891051
887000,0,0,724209,890006
888000,0,0,699998,891256
889000,0,0,725777,877990
890000,0,0,764153,896426
891000,0,0,708030,898025
892000,0,0,747890,898541
893000,0,0,726240,895223
894000,0,0,785697,895305
895000,0,0,765002,902740
896000,0,0,805596,893576
897000,0,0,795713,905929
898000,0,0,851688,893354
899000,0,0,783914,900608
900000,0,0,871165,909026
901000,0,0,758045,909890
902000,0,0,825158,905723
903000,0,0,909817,903763
904000,0,0,854437,903266
905000,0,0,932373,907386
906000,0,0,922634,910944
907000,0,0,824939,912263
908000,0,0,871678,908826
909000,0,0,915138,911836
910000,0,0,983157,914424
911000,0,0,964123,912317
912000,0,0,979579,944256
913000,0,0,738583,624273
914000,0,0,573104,367997
915000,0,0,807164,923311
916000,0,0,90116,955262
917000,0,0,34862,919053
918000,0,0,21029,916292
919000,0,0,13452,912996
920000,0,0,88151,912235
921000,0,0,7095,914857
922000,0,0,149652,921139
923000,0,0,173722,933921
924000,0,0,98501,928702
925000,0,0,95131,926143
926000,0,0,120373,927457
927000,0,0,144576,927494
928000,0,0,126623,925607
929000,0,0,179086,934081
930000,0,0,131709,926863
931000,0,0,124783,935964
932000,0,0,272811,941780
933000,0,0,225600,953434
934000,0,0,255729,948683
935000,0,0,236982,930509
936000,0,0,200999,923638
937000,0,0,239475,942615
938000,0,0,192451,937859
939000,0,0,182246,939494
940000,0,0,151796,963793
941000,0,0,153616,947862
942000,0,0,215778,947004
943000,0,0,216643,941822
944000,0,0,302035,944828
945000,0,0,393689,943778
946000,0,0,341535,939296
947000,0,0,317864,945972
948000,0,0,327066,947709
949000,0,0,303678,948429
950000,0,0,357158,953029
951000,0,0,387040,952308
952000,0,0,392362,953308
953000,0,0,334522,947834
954000,0,0,322709,952838
955000,0,0,351056,961170
956000,0,0,370403,953297
957000,0,0,374326,959042
958000,0,0,348375,955457
959000,0,0,447721,964315
960000,0,0,403193,963669
961000,0,0,398044,958331
962000,0,0,463367,966887
963000,0,0,509349,965208
964000,0,0,499164,966896
965000,0,0,540214,968585
966000,0,0,503897,968460
967000,0,0,431039,972347
968000,0,0,486131,967535
969000,0,0,397865,973854
970000,0,0,454359,969951
971000,0,0,419277,971792
972000,0,0,433401,969880
973000,0,0,511083,978873
974000,0,0,477471,982662
975000,0,0,508718,973974
976000,0,0,545122,974600
977000,0,0,519196,973209
978000,0,0,564099,981343
979000,0,0,493997,985720
980000,0,0,534487,975504
981000,0,0,593427,980602
982000,0,0,684969,979499
983000,0,0,534767,982812
984000,0,0,607902,983875
985000,0,0,563055,991085
986000,0,0,576358,993794
987000,0,0,662208,986266
988000,0,0,606719,991900
989000,0,0,662108,986746
990000,0,0,715965,990039
991000,0,0,690240,986847
992000,0,0,730071,990515
993000,0,0,827002,998596
994000,0,0,727732,990174
995000,0,0,675170,995227
996000,0,0,736697,5688
997000,0,0,786625,990574
998000,0,0,807992,996933
999000,0,0,742437,11249
1000000,0,0,793560,3857
